Team For,Team Against,Week Number,Matchup Type,Points For,Points Against
Give Breece a Chance,Double J's,9,REGULAR_SEASON,132.14,111.3
Pukakke,Tagovailove,9,REGULAR_SEASON,119.68,92.04
Tagovailove,Pukakke,9,REGULAR_SEASON,92.04,119.68
Chubbless,Jake n' Jordan,9,REGULAR_SEASON,135.83,143.73
Jake n' Jordan,Chubbless,9,REGULAR_SEASON,143.73,135.83
Jahmyrror Image's ,Eastbound and Brown,9,REGULAR_SEASON,99.08,148.22
Eastbound and Brown,Jahmyrror Image's ,9,REGULAR_SEASON,148.22,99.08
Mixon It Up,Give Breece a Chance,10,REGULAR_SEASON,184,143.38
Give Breece a Chance,Mixon It Up,10,REGULAR_SEASON,143.38,184
Double J's,Pukakke,10,REGULAR_SEASON,192.78,151.1
Pukakke,Double J's,10,REGULAR_SEASON,151.1,192.78
Waddle you doin step bro,Chubbless,10,REGULAR_SEASON,115.9,127.48
Chubbless,Waddle you doin step bro,10,REGULAR_SEASON,127.48,115.9
Tagovailove,Eastbound and Brown,10,REGULAR_SEASON,148.03,143.3
Eastbound and Brown,Tagovailove,10,REGULAR_SEASON,143.3,148.03
Jahmyrror Image's ,Jake n' Jordan,10,REGULAR_SEASON,106.74,162.95
Jake n' Jordan,Jahmyrror Image's ,10,REGULAR_SEASON,162.95,106.74
Mixon It Up,Tagovailove,11,REGULAR_SEASON,151.1,149.02
Tagovailove,Mixon It Up,11,REGULAR_SEASON,149.02,151.1
Double J's,Waddle you doin step bro,11,REGULAR_SEASON,130.56,135.36
Waddle you doin step bro,Double J's,11,REGULAR_SEASON,135.36,130.56
Give Breece a Chance,Jahmyrror Image's ,11,REGULAR_SEASON,159,160.86
Jahmyrror Image's ,Give Breece a Chance,11,REGULAR_SEASON,160.86,159
Pukakke,Chubbless,11,REGULAR_SEASON,143.26,118.26
Chubbless,Pukakke,11,REGULAR_SEASON,118.26,143.26
Eastbound and Brown,Jake n' Jordan,11,REGULAR_SEASON,122.28,136.16
Jake n' Jordan,Eastbound and Brown,11,REGULAR_SEASON,136.16,122.28
,,,,,
,,,,,
Filters Applied,,,,,
Week Number Start: 1,,,,,
Week Number End: 11,,,,,
Only Regular Season: False,,,,,
Only Post Season: False,,,,,
Only Championship: False,,,,,
Include Multi-Week Matchups: True,,,,,
